event_year,event_month,monthly_stars,repos_starred,avg_stars_per_starred_repo
2023,1,431358,122269,3.53
2023,2,495740,123483,4.01
2023,3,754891,226321,3.34
2023,4,580611,111486,5.21
2023,5,517950,112860,4.59
2023,6,498102,117874,4.23
2023,7,471632,109823,4.29
2023,8,446514,105480,4.23
2023,9,389929,104980,3.71
2023,10,402982,110313,3.65
2023,11,432161,109098,3.96
2023,12,402084,103600,3.88
2024,1,482295,116904,4.13
2024,2,456005,109316,4.17
2024,3,611562,121610,5.03
2024,4,497778,115473,4.31
2024,5,496961,117999,4.21
2024,6,496217,111001,4.47

