repo_id,repo_name,language,q3_2023_stars,q4_2023_stars,abs_jump,acceleration
645827920,refilc/naplo,NULL,10,1369,1359,136.9
494005470,hezarai/hezar,NULL,6,512,506,85.333
691805350,openpubkey/openpubkey,NULL,5,349,344,69.8
513976230,vueform/vueform,NULL,7,353,346,50.429
692697310,KtzeAbyss/Easy-Virtual-Display,NULL,8,388,380,48.5
670264280,n0mi1k/apk2url,NULL,5,185,180,37.0
510559980,anoma/namada,NULL,33,1196,1163,36.242
698197690,TKazer/CS2_External,NULL,11,330,319,30.0
677538350,css-hooks/css-hooks,NULL,11,317,306,28.818
695211890,UjuiUjuMandan/EhViewer,NULL,10,280,270,28.0
501309230,rust-lang-ua/rust_incubator_eng,NULL,9,220,211,24.444
393963530,Actyx/Actyx,NULL,8,180,172,22.5
600223950,RedisVentures/ArXivChatGuru,NULL,12,268,256,22.333
595651200,Gniang/RoundedTB,NULL,6,115,109,19.167
644681940,027xiguapi/pear-rec,NULL,24,437,413,18.208
141604220,septag/sx,C,8,126,118,15.75
697293000,mojicians/awesome-mojo,NULL,16,232,216,14.5
569896590,martinmimigames/little-file-explorer,NULL,11,159,148,14.455
682289450,kernelwernel/VMAware,NULL,6,84,78,14.0
365297600,DhanushNehru/Ultimate-Web-Development-Resources,NULL,5,69,64,13.8

